,id,joeStaked,joeStakedUSD,totalVeJoeMinted,veJoeBalance,protocolName,% JOE staked in veJOE,% veJOE
0,0x1f2a8034f444dc55f963fb5925a9b6eb744eee2c,301513.0950555824,247078.10262192844,9313507.719543021,9313507.718223894,Beefy,0.84,1.17
1,0xe7462905b79370389e8180e300f58f63d35b725f,1196764.7488589212,296467.3723552881,49185236.401840314,49185236.401840314,Yield Yak,3.34,6.17
2,0xf30e775240d4137daea097109fea882c406d61cc,0.86671,0.16650446816775633,1945073.2635012907,0.0,Northpole,0.0,0.0
3,0x0e25c07748f727d6cccd7d2711fd7bd13d13422d,13461114.951162057,3854899.9104631827,452996176.328272,452996176.328272,Vector Finance,37.58,56.85
4,0x1ab6b2f60a7e8da9d521cf8f90b2a5b5d314b3a6,1491545.7335030506,410688.35720196355,29924652.136061214,29924652.136061214,Steakhunt Finance,4.16,3.76
5,others,19366122.477437336,5052883.707814981,472544015.2546555,255350038.3569733,others,54.08,32.05
